Team,Number,Name,Position,Age,Nationality,Market Value
CS Universitatea Craiova,3,Denil Maldonado,Centre-Back,"May 26, 1998 (26)",Honduras,€1.20m
CS Universitatea Craiova,26,Gjoko Zajkov,Centre-Back,"Feb 10, 1995 (29)",North Macedonia,€800k
CS Universitatea Craiova,15,Juraj Badelj,Centre-Back,"Aug 24, 2003 (21)",Croatia,€600k
CS Universitatea Craiova,41,Marcus Pacurar,Centre-Back,"May 2, 2005 (19)",Romania,€50k
CS Universitatea Craiova,11,Nicusor Bancu,Left-Back,"Sep 18, 1992 (32)",Romania,€1.30m
CS Universitatea Craiova,12,Basilio Ndong,Left-Back,"Jan 17, 1999 (26)",Equatorial Guinea,€400k
CS Universitatea Craiova,2,Stefan Vladoiu,Right-Back,"Dec 28, 1998 (26)",Romania,€1.00m
CS Universitatea Craiova,22,Iago Lopez,Right-Back,"Apr 6, 1999 (25)",Spain,€300k
CS Universitatea Craiova,36,Florin Gaspar,Right-Back,"Sep 25, 2007 (17)",Romania,-
CS Universitatea Craiova,6,Vladimir Screciu,Defensive Midfield,"Jan 13, 2000 (25)",Romania,€2.00m
CS Universitatea Craiova,5,Anzor Mekvabishvili,Defensive Midfield,"Jun 5, 2001 (23)",Georgia,€1.20m
CS Universitatea Craiova,8,Takuto Oshima,Defensive Midfield,"Jun 1, 1998 (26)",Japan,€1.00m
CS Universitatea Craiova,39,Robert Lapadatescu,Defensive Midfield,"Nov 8, 2006 (18)",Romania,-
CS Universitatea Craiova,23,Mihai Capatina,Central Midfield,"Dec 16, 1995 (29)",Romania,€550k
CS Universitatea Craiova,20,Alexandru Cicaldau,Attacking Midfield,"Jul 8, 1997 (27)",Romania,€2.50m
CS Universitatea Craiova,14,Lyes Houri,Attacking Midfield,"Jan 19, 1996 (29)",France,€800k
CS Universitatea Craiova,28,Alexandru Mitrita,Left Winger,"Feb 8, 1995 (29)",Romania,€4.00m
CS Universitatea Craiova,10,Stefan Baiaram,Left Winger,"Dec 31, 2002 (22)",Romania,€1.50m
CS Universitatea Craiova,7,Luis Paradela,Left Winger,"Jan 21, 1997 (28)",Cuba,€700k
CS Universitatea Craiova,17,Carlos Mora,Right Winger,"Mar 18, 2001 (23)",Costa Rica,€600k
CS Universitatea Craiova,31,Stefan Bana,Right Winger,"Oct 29, 2004 (20)",Romania,€450k
CS Universitatea Craiova,19,Elvir Koljic,Centre-Forward,"Jul 8, 1995 (29)",Bosnia-Herzegovina,€800k
CS Universitatea Craiova,24,Jovo Lukic,Centre-Forward,"Nov 28, 1998 (26)",Bosnia-Herzegovina,€500k
CS Universitatea Craiova,27,David Barbu,Centre-Forward,"Jun 26, 2006 (18)",Romania,€150k
CFR Cluj,21,Mihai Popa,Goalkeeper,"Oct 12, 2000 (24)",Romania,€800k
CFR Cluj,89,Otto Hindrich,Goalkeeper,"Aug 5, 2002 (22)",Romania,€450k
CFR Cluj,1,Rares Gal,Goalkeeper,"Jan 25, 2001 (23)",Romania,€50k
CFR Cluj,12,Mihai Pinzariu,Goalkeeper,"Sep 14, 2004 (20)",Romania,€25k
CFR Cluj,83,Mihai Racasan,Goalkeeper,"Jul 1, 2007 (17)",Romania,-
CFR Cluj,27,Matei Ilie,Centre-Back,"Dec 11, 2002 (22)",Romania,€900k
CFR Cluj,44,Anton Kresic,Centre-Back,"Jan 29, 1996 (28)",Croatia,€800k
CFR Cluj,4,Leo Bolgado,Centre-Back,"Aug 20, 1998 (26)",Brazil,€750k
CFR Cluj,42,Matija Boben,Centre-Back,"Feb 26, 1994 (30)",Slovenia,€600k
CFR Cluj,5,Daniel Graovac,Centre-Back,"Aug 8, 1993 (31)",Bosnia-Herzegovina,€400k
CFR Cluj,-,Sheriff Sinyan,Centre-Back,"Jul 19, 1996 (28)",The Gambia,€300k
CFR Cluj,22,Alan Aussi,Centre-Back,"Jun 30, 2001 (23)",Ukraine,€25k
CFR Cluj,78,Costel Avram,Centre-Back,"Jun 11, 2002 (22)",Romania,€25k
CFR Cluj,13,Simao Rocha,Left-Back,"Dec 13, 2000 (24)",Portugal,€700k
CFR Cluj,3,Aly Abeid,Left-Back,"Dec 11, 1997 (27)",Mauritania,€500k
CFR Cluj,45,Mario Camora,Left-Back,"Nov 10, 1986 (38)",Romania,€200k
CFR Cluj,19,Vasile Mogos,Right-Back,"Oct 31, 1992 (32)",Romania,€800k
CFR Cluj,23,Flavius Iacob,Right-Back,"Oct 30, 2000 (24)",Romania,€250k
CFR Cluj,20,Alexandru Tirlea,Right-Back,"Mar 28, 2000 (24)",Romania,€100k
CFR Cluj,71,Andrei Peteleu,Right-Back,"Aug 20, 1992 (32)",Romania,€50k
CFR Cluj,18,Kader Keita,Defensive Midfield,"Nov 6, 2000 (24)",Cote d'Ivoire,€850k
CFR Cluj,77,Panagiotis Tachtsidis,Defensive Midfield,"Feb 15, 1991 (33)",Greece,€550k
CFR Cluj,82,Alin Fica,Central Midfield,"Jun 14, 2001 (23)",Romania,€750k
CFR Cluj,88,Damjan Djokovic,Central Midfield,"Apr 18, 1990 (34)",Croatia,€225k
CFR Cluj,8,Robert Filip,Central Midfield,"Mar 2, 2002 (22)",Romania,€200k
CFR Cluj,17,Meriton Korenica,Left Winger,"Dec 15, 1996 (28)",Kosovo,€900k
CFR Cluj,7,Mohammed Kamara,Left Winger,"Oct 31, 1997 (27)",Liberia,€600k
CFR Cluj,11,Adrian Paun,Left Winger,"Apr 1, 1995 (29)",Romania,€600k
CFR Cluj,97,Andres Sfait,Left Winger,"Dec 9, 2004 (20)",Romania,€450k
CFR Cluj,96,Beni Nkololo,Right Winger,"Nov 6, 1996 (28)",France,€600k
CFR Cluj,10,Ciprian Deac,Right Winger,"Feb 16, 1986 (38)",Romania,€200k
CFR Cluj,9,Louis Munteanu,Centre-Forward,"Jun 16, 2002 (22)",Romania,€2.20m
CFR Cluj,93,Virgiliu Postolachi,Centre-Forward,"Mar 17, 2000 (24)",Moldova,€600k
CFR Cluj,99,Stipe Juric,Centre-Forward,"Nov 19, 1998 (26)",Bosnia-Herzegovina,€450k
CFR Cluj,-,Luka Juricic,Centre-Forward,"Nov 25, 1996 (28)",Bosnia-Herzegovina,€300k
FC Universitatea Cluj,30,Edvinas Gertmonas,Goalkeeper,"Jun 1, 1996 (28)",Lithuania,€1.20m
FC Universitatea Cluj,1,Stefan Lefter,Goalkeeper,"Nov 18, 2004 (20)",Romania,€400k
FC Universitatea Cluj,12,Denis Moldovan,Goalkeeper,"Oct 27, 2004 (20)",Romania,€50k
FC Universitatea Cluj,5,Lucas Masoero,Centre-Back,"Feb 1, 1995 (29)",Argentina,€1.30m
FC Universitatea Cluj,6,Iulian Cristea,Centre-Back,"Jul 17, 1994 (30)",Romania,€1.00m
FC Universitatea Cluj,16,Jasper van der Werff,Centre-Back,"Dec 9, 1998 (26)",Switzerland,€750k
FC Universitatea Cluj,3,Bogdan Mitrea,Centre-Back,"Sep 29, 1987 (37)",Romania,€200k
FC Universitatea Cluj,-,Andrei Stefan,Centre-Back,"Jul 6, 2002 (22)",Romania,€25k
