Team,Number,Name,Position,Age,Nationality,Market Value
Petrolul Ploiesti,11,Herman Moussaki,Centre-Forward,"Feb 10, 1999 (25)",Congo,€200k
Petrolul Ploiesti,71,David Ilie,Centre-Forward,"Aug 17, 2004 (20)",Romania,€50k
Petrolul Ploiesti,77,Ali Demirel,Centre-Forward,"Jan 2, 2003 (22)",Türkiye,€50k
Petrolul Ploiesti,90,Iustin Raducan,Centre-Forward,"Jul 20, 2005 (19)",Romania,€25k
Petrolul Ploiesti,99,Raul Bucur,Centre-Forward,"Dec 24, 2002 (22)",Romania,-
FC Hermannstadt,25,Catalin Cabuz,Goalkeeper,"Jun 18, 1996 (28)",Romania,€900k
FC Hermannstadt,31,Vlad Mutiu,Goalkeeper,"Feb 2, 1995 (29)",Romania,€150k
FC Hermannstadt,22,Ionut Pop,Goalkeeper,"Aug 1, 1997 (27)",Romania,€50k
FC Hermannstadt,5,Florin Bejan,Centre-Back,"Mar 28, 1991 (33)",Romania,€200k
FC Hermannstadt,2,Vahid Selimovic,Centre-Back,"Apr 3, 1997 (27)",Luxembourg,€150k
FC Hermannstadt,4,Ionut Stoica,Centre-Back,"Jan 6, 1988 (37)",Romania,€150k
FC Hermannstadt,27,Valerica Gaman,Centre-Back,"Feb 25, 1989 (35)",Romania,€150k
FC Hermannstadt,15,Tiago Goncalves,Left-Back,"Aug 18, 2000 (24)",Portugal,€450k
FC Hermannstadt,66,Tiberiu Capusa,Right-Back,"Apr 6, 1998 (26)",Romania,€550k
FC Hermannstadt,51,Alexandru Oroian,Right-Back,"Jan 27, 2001 (23)",Romania,€450k
FC Hermannstadt,30,Nana Antwi,Right-Back,"Aug 10, 2000 (24)",Ghana,€350k
FC Hermannstadt,8,Alessandro Murgia,Central Midfield,"Aug 9, 1996 (28)",Italy,€700k
FC Hermannstadt,24,Antoni Ivanov,Central Midfield,"Sep 11, 1995 (29)",Bulgaria,€550k
FC Hermannstadt,17,Dragos Iancu,Central Midfield,"Sep 29, 2002 (22)",Romania,€400k
FC Hermannstadt,29,Ciprian Biceanu,Central Midfield,"Feb 26, 1994 (30)",Romania,€350k
FC Hermannstadt,6,Kalifa Kujabi,Central Midfield,"Mar 5, 2000 (24)",The Gambia,€150k
FC Hermannstadt,20,Ianis Gandila,Central Midfield,"Jan 16, 2006 (19)",Romania,€50k
FC Hermannstadt,10,Cristian Negut,Left Midfield,"Dec 9, 1995 (29)",Romania,€450k
FC Hermannstadt,33,Alexandru Luca,Attacking Midfield,"Apr 26, 2004 (20)",Romania,€100k
FC Hermannstadt,7,Ianis Stoica,Left Winger,"Dec 8, 2002 (22)",Romania,€1.60m
FC Hermannstadt,96,Silviu Balaure,Left Winger,"Feb 6, 1996 (28)",Romania,€600k
FC Hermannstadt,45,Robert Popescu,Left Winger,"Mar 9, 2003 (21)",Romania,€300k
FC Hermannstadt,23,Ianis Mihart,Left Winger,"Sep 23, 2004 (20)",Romania,€25k
FC Hermannstadt,16,Jovan Markovic,Centre-Forward,"Mar 23, 2001 (23)",Romania,€650k
FC Hermannstadt,9,Aurelian Chitu,Centre-Forward,"Mar 25, 1991 (33)",Romania,€400k
FC Hermannstadt,11,Sergiu Bus,Centre-Forward,"Nov 2, 1992 (32)",Romania,€225k
SC Otelul Galati,32,Iustin Popescu,Goalkeeper,"Sep 1, 1993 (31)",Romania,€500k
SC Otelul Galati,1,Cosmin Dur-Bozoanca,Goalkeeper,"Feb 15, 1998 (26)",Romania,€350k
SC Otelul Galati,5,Nikola Stevanovic,Centre-Back,"Sep 13, 1998 (26)",Serbia,€650k
SC Otelul Galati,6,Jonathan Cisse,Centre-Back,"May 18, 1997 (27)",Cote d'Ivoire,€550k
SC Otelul Galati,4,Martin Angha,Centre-Back,"Jan 22, 1994 (31)",Switzerland,€400k
SC Otelul Galati,3,Julian Bonilla,Centre-Back,"Nov 21, 1996 (28)",Colombia,€200k
SC Otelul Galati,15,Francois Yabre,Centre-Back,"May 10, 1991 (33)",Burkina Faso,€150k
SC Otelul Galati,28,Miguel Silva,Left-Back,"Dec 20, 1995 (29)",Portugal,€400k
SC Otelul Galati,27,David Maftei,Right-Back,"Jul 12, 2004 (20)",Romania,€500k
SC Otelul Galati,2,Milen Zhelev,Right-Back,"Jul 17, 1993 (31)",Bulgaria,€350k
SC Otelul Galati,14,Andrei Rus,Right-Back,"May 14, 2002 (22)",Romania,€300k
SC Otelul Galati,-,Valerio Gallo,Right-Back,"Dec 7, 2004 (20)",Romania,€25k
SC Otelul Galati,66,Joao Lameira,Defensive Midfield,"Apr 19, 1999 (25)",Portugal,€700k
SC Otelul Galati,8,Ionut Neagu,Defensive Midfield,"Oct 26, 1989 (35)",Romania,€25k
SC Otelul Galati,21,Samuel Teles,Central Midfield,"Feb 28, 1997 (27)",Portugal,€500k
SC Otelul Galati,34,Jakob Novak,Central Midfield,"Mar 4, 1998 (26)",Slovenia,€350k
SC Otelul Galati,71,Victor Bogaciuc,Central Midfield,"Oct 17, 1999 (25)",Moldova,€200k
SC Otelul Galati,20,Nelut Rosu,Central Midfield,"Jul 5, 1993 (31)",Romania,€100k
SC Otelul Galati,23,Cristian Chira,Central Midfield,"Nov 8, 2001 (23)",Romania,€100k
SC Otelul Galati,10,Samy Bourard,Attacking Midfield,"Mar 29, 1996 (28)",Belgium,€300k
SC Otelul Galati,17,Razvan Tanasa,Left Winger,"Apr 28, 2003 (21)",Romania,€400k
SC Otelul Galati,11,Alexandru Burcea,Left Winger,"Jan 27, 2005 (19)",Romania,€125k
SC Otelul Galati,7,Frederic Maciel,Right Winger,"Mar 15, 1994 (30)",Portugal,€800k
SC Otelul Galati,22,Andrei Bani,Right Winger,"Aug 22, 2002 (22)",Romania,€500k
SC Otelul Galati,19,Maxim Cojocaru,Right Winger,"Jan 13, 1998 (27)",Moldova,€250k
SC Otelul Galati,9,Alexandru Stan,Centre-Forward,"Sep 25, 2005 (19)",Romania,€200k
SC Otelul Galati,77,Luca Andronache,Centre-Forward,"Jul 26, 2003 (21)",Romania,€100k
SC Otelul Galati,97,Albert Hofman,Centre-Forward,"Apr 10, 2003 (21)",Romania,€50k
FC Botosani,94,Eduard Pap,Goalkeeper,"Jul 1, 1994 (30)",Romania,€300k
FC Botosani,99,Giannis Anestis,Goalkeeper,"Mar 9, 1991 (33)",Greece,€300k
FC Botosani,1,Luka Kukic,Goalkeeper,"May 16, 1996 (28)",Bosnia-Herzegovina,€250k
FC Botosani,44,Rijad Sadiku,Centre-Back,"Jan 18, 2000 (25)",Bosnia-Herzegovina,€550k
FC Botosani,4,Andrei Miron,Centre-Back,"May 28, 1994 (30)",Romania,€450k
FC Botosani,5,Patricio Matricardi,Centre-Back,"Jan 7, 1994 (31)",Argentina,€400k
FC Botosani,6,Daniel Celea,Centre-Back,"Jul 6, 1995 (29)",Romania,€100k
FC Botosani,32,Alin Seroni,Centre-Back,"Mar 26, 1987 (37)",Romania,€50k
FC Botosani,15,Damian Cimpoesu,Centre-Back,"Sep 15, 2000 (24)",Romania,-
FC Botosani,3,Michael Pavlovic,Left-Back,"Jun 12, 2001 (23)",Slovenia,€300k
FC Botosani,30,Alexandru Tiganasu,Left-Back,"Jun 12, 1990 (34)",Romania,€150k
FC Botosani,2,Ale Diez,Right-Back,"Feb 17, 1996 (28)",Spain,€300k
FC Botosani,20,Romario Benzar,Right-Back,"Mar 26, 1992 (32)",Romania,€100k
FC Botosani,-,Alexandru Albu,Defensive Midfield,"Aug 17, 1993 (31)",Romania,€600k
FC Botosani,28,Charles Petro,Defensive Midfield,"Feb 8, 2001 (23)",Malawi,€300k
FC Botosani,33,Gabriel David,Central Midfield,"Feb 11, 2003 (21)",Romania,€300k
FC Botosani,67,Enriko Papa,Central Midfield,"Mar 12, 1993 (31)",Albania,€300k
FC Botosani,22,Francisco Junior,Central Midfield,"Jan 18, 1992 (33)",Guinea-Bissau,€150k
FC Botosani,12,Adams Friday,Right Midfield,"Nov 23, 2002 (22)",Nigeria,€350k
FC Botosani,8,Eduard Florescu,Attacking Midfield,"Jun 27, 1997 (27)",Romania,€550k
FC Botosani,7,Stefan Bodisteanu,Attacking Midfield,"Feb 1, 2003 (21)",Romania,€450k
FC Botosani,83,Aldair Ferreira,Attacking Midfield,"Mar 26, 1998 (26)",Angola,€400k
FC Botosani,26,Hervin Ongenda,Attacking Midfield,"Jun 24, 1995 (29)",France,€300k
FC Botosani,10,Alexandru Cimpanu,Right Winger,"Oct 8, 2000 (24)",Romania,€350k
FC Botosani,17,Stefan Panoiu,Right Winger,"Sep 23, 2002 (22)",Romania,€200k
FC Botosani,64,Jaly Mouaddib,Right Winger,"Nov 18, 2000 (24)",France,€200k
FC Botosani,70,George Gligor,Right Winger,"Dec 13, 2004 (20)",Romania,€25k
FC Botosani,11,Zoran Mitrov,Second Striker,"Jan 29, 2002 (22)",Romania,€200k
FC Botosani,9,Enzo Lopez,Centre-Forward,"Mar 10, 1998 (26)",Argentina,€450k
FC Botosani,29,Adi Chica-Rosa,Centre-Forward,"Sep 8, 1998 (26)",Romania,€300k
ACSM Politehnica Iasi,1,Ionut Ailenei,Goalkeeper,"Jan 30, 2001 (23)",Romania,€200k
ACSM Politehnica Iasi,88,Jesus Fernandez,Goalkeeper,"Jun 11, 1988 (36)",Spain,€150k
ACSM Politehnica Iasi,12,Toma Niga,Goalkeeper,"Aug 15, 1997 (27)",Romania,€50k
ACSM Politehnica Iasi,42,Guilherme,Centre-Back,"Feb 8, 2001 (23)",Portugal,€600k
ACSM Politehnica Iasi,3,Nicolas Samayoa,Centre-Back,"Aug 2, 1995 (29)",Guatemala,€550k
ACSM Politehnica Iasi,4,Claudio Silva,Centre-Back,"Jun 29, 2000 (24)",Portugal,€350k
ACSM Politehnica Iasi,18,Florin Ilie,Centre-Back,"Jun 18, 1992 (32)",Romania,€300k
ACSM Politehnica Iasi,-,Alexandru Core,Centre-Back,"Dec 12, 2000 (24)",Romania,€100k
ACSM Politehnica Iasi,2,Mohammed Umar,Centre-Back,"Dec 11, 2002 (22)",Ghana,€100k
ACSM Politehnica Iasi,20,Stefan Stefanovici,Left-Back,"Feb 20, 2002 (22)",Romania,€450k
ACSM Politehnica Iasi,27,Rares Ispas,Left-Back,"Aug 26, 2000 (24)",Romania,€450k
ACSM Politehnica Iasi,33,David Atanaskoski,Left-Back,"Oct 21, 1996 (28)",North Macedonia,€300k
ACSM Politehnica Iasi,-,Catalin Cret,Left-Back,"Jul 1, 1999 (25)",Romania,-
ACSM Politehnica Iasi,-,Mihai Adascalitei,Right-Back,"Nov 1, 1994 (30)",Romania,€400k
ACSM Politehnica Iasi,5,Samuel Oum Gouet,Defensive Midfield,"Dec 14, 1997 (27)",Cameroon,€400k
ACSM Politehnica Iasi,37,Mihai Bordeianu,Central Midfield,"Nov 18, 1991 (33)",Romania,€350k
ACSM Politehnica Iasi,19,Catalin Itu,Central Midfield,"Oct 26, 1999 (25)",Romania,€250k
ACSM Politehnica Iasi,24,Julian Marchioni,Central Midfield,"Mar 11, 1993 (31)",Argentina,€250k
ACSM Politehnica Iasi,-,Diego Farcas,Central Midfield,"Nov 20, 2005 (19)",Romania,€25k
ACSM Politehnica Iasi,77,Denis Ciobanu,Central Midfield,"May 24, 2004 (20)",Romania,€25k
ACSM Politehnica Iasi,98,Vlad Ilie,Central Midfield,"Apr 17, 2008 (16)",Romania,-
ACSM Politehnica Iasi,80,Andrei Gheorghita,Left Midfield,"Jul 16, 2002 (22)",Romania,€500k
ACSM Politehnica Iasi,10,Alin Roman,Attacking Midfield,"Jan 27, 1994 (30)",Romania,€650k
ACSM Politehnica Iasi,11,Valentin Gheorghe,Left Winger,"Feb 14, 1997 (27)",Romania,€450k
ACSM Politehnica Iasi,7,Goncalo Teixeira,Left Winger,"Nov 24, 1999 (25)",Portugal,€400k
ACSM Politehnica Iasi,-,Joao Paulino,Left Winger,"May 26, 1998 (26)",Cape Verde,€300k
ACSM Politehnica Iasi,21,Matei Tanasa,Left Winger,"Oct 8, 2005 (19)",Romania,€150k
ACSM Politehnica Iasi,99,Tailson,Right Winger,"Mar 5, 1999 (25)",Brazil,€400k
ACSM Politehnica Iasi,70,David Popa,Right Winger,"Mar 13, 2007 (17)",Romania,€50k
ACSM Politehnica Iasi,-,Sekou Camara,Centre-Forward,"Jul 20, 1997 (27)",Guinea,€200k
FC Buzău,12,Alexandru Greab,Goalkeeper,"May 26, 1992 (32)",Romania,€300k
FC Buzău,39,Dorian Railean,Goalkeeper,"Oct 13, 1993 (31)",Moldova,€250k
FC Buzău,1,David Lazar,Goalkeeper,"Aug 8, 1991 (33)",Romania,€200k
FC Buzău,29,Dragos Horeboiu,Goalkeeper,"Sep 5, 2002 (22)",Romania,€10k
FC Buzău,5,Grigore Turda,Centre-Back,"Jul 24, 1997 (27)",Romania,€500k
FC Buzău,21,Alin Dobrosavlevici,Centre-Back,"Oct 24, 1994 (30)",Romania,€300k
FC Buzău,25,Dragan Lovric,Centre-Back,"Jan 3, 1996 (29)",Croatia,€300k
FC Buzău,3,Israel Puerto,Centre-Back,"Jun 15, 1993 (31)",Spain,€200k
FC Buzău,92,Mike Cestor,Centre-Back,"Apr 30, 1992 (32)",DR Congo,€150k
FC Buzău,18,Robert Salceanu,Left-Back,"Jan 13, 2004 (21)",Romania,€200k
FC Buzău,80,Denis Dumitrascu,Left-Back,"Apr 27, 1995 (29)",Romania,€200k
FC Buzău,14,Alessandro Ciranni,Right-Back,"Jun 28, 1996 (28)",Belgium,€400k
FC Buzău,22,Sergiu Pirvulescu,Right-Back,"Jul 21, 2003 (21)",Romania,€250k
FC Buzău,87,Diego Ferraresso,Right-Back,"May 21, 1992 (32)",Bulgaria,€175k
FC Buzău,66,Rassambek Akhmatov,Defensive Midfield,"May 31, 1996 (28)",Russia,€300k
FC Buzău,8,Dragos Albu,Central Midfield,"Mar 15, 2001 (23)",Romania,€450k
FC Buzău,-,Aleksejs Saveljevs,Central Midfield,"Jan 30, 1999 (25)",Latvia,€250k
FC Buzău,20,David Tavares,Central Midfield,"Mar 19, 1999 (25)",Cape Verde,€250k
FC Buzău,6,Tudor Calin,Central Midfield,"Oct 8, 2000 (24)",Romania,€150k
FC Buzău,4,Luca Mihai,Central Midfield,"Oct 11, 2003 (21)",Romania,€100k
FC Buzău,28,Vito,Central Midfield,"Sep 18, 1997 (27)",Portugal,€100k
FC Buzău,98,Alexandru Jipa,Right Midfield,"Aug 14, 2002 (22)",Romania,€300k
FC Buzău,88,Ion Gheorghe,Attacking Midfield,"Oct 8, 1999 (25)",Romania,€400k
FC Buzău,10,Constantin Budescu,Attacking Midfield,"Feb 19, 1989 (35)",Romania,€250k
FC Buzău,7,Cristian Dumitru,Left Winger,"Dec 13, 2001 (23)",Romania,€200k
FC Buzău,30,Alexandru Isfan,Right Winger,"Jan 31, 2000 (24)",Romania,€350k
FC Buzău,17,Moha Keita,Right Winger,"Sep 18, 1999 (25)",Senegal,€100k
FC Buzău,9,Ricardo Matos,Centre-Forward,"Mar 25, 2000 (24)",Portugal,€450k
FC Buzău,11,Dragos Tescan,Centre-Forward,"Sep 15, 1999 (25)",Romania,€200k
UTA Arad,-,Andrei Gorcea,Goalkeeper,"Aug 2, 2001 (23)",Romania,€250k
UTA Arad,22,Dejan Iliev,Goalkeeper,"Feb 25, 1995 (29)",North Macedonia,€150k
UTA Arad,33,Mario Popescu,Goalkeeper,"Apr 19, 2004 (20)",Romania,€10k
UTA Arad,15,Ibrahima Conte,Centre-Back,"Apr 3, 1996 (28)",Guinea,€550k
UTA Arad,6,Florent Poulolo,Centre-Back,"Jan 2, 1997 (28)",Martinique,€400k
UTA Arad,4,Alexandru Benga,Centre-Back,"Jun 15, 1989 (35)",Romania,€100k
UTA Arad,-,Razvan Pascalau,Centre-Back,"May 5, 2004 (20)",Romania,€50k
UTA Arad,3,Kouya Mabea,Left-Back,"Oct 23, 1998 (26)",Cote d'Ivoire,€200k
UTA Arad,-,Damien Dussaut,Right-Back,"Nov 8, 1994 (30)",Martinique,€350k
UTA Arad,25,Ravy Tsouka,Right-Back,"Dec 23, 1994 (30)",Congo,€300k
UTA Arad,21,Cristian Mihai,Defensive Midfield,"Sep 23, 2004 (20)",Romania,€600k
UTA Arad,97,Denis Hrezdac,Defensive Midfield,"Nov 3, 2001 (23)",Romania,€350k
UTA Arad,-,Tony Francisco,Defensive Midfield,"Aug 9, 2000 (24)",France,-
UTA Arad,31,Cornel Rapa,Right Midfield,"Jan 16, 1990 (35)",Romania,€125k
UTA Arad,30,Benjamin Van Durmen,Left Midfield,"Mar 20, 1997 (27)",Belgium,€450k
UTA Arad,29,Razvan Trif,Left Midfield,"Oct 9, 1997 (27)",Romania,€350k
UTA Arad,-,Ovidiu Bulza,Left Midfield,"Jan 1, 2004 (21)",Romania,€10k
UTA Arad,10,Andrej Fabry,Attacking Midfield,"Mar 1, 1997 (27)",Slovakia,€600k
UTA Arad,18,Valentin Borcea,Attacking Midfield,"Jul 6, 2002 (22)",Romania,€25k
UTA Arad,19,Valentin Costache,Left Winger,"Aug 2, 1998 (26)",Romania,€550k
UTA Arad,24,Eric Omondi,Left Winger,"Aug 18, 1994 (30)",Kenya,€500k
UTA Arad,14,Lamine Ghezali,Right Winger,"Jul 6, 1999 (25)",France,€250k
UTA Arad,-,Marian Danciu,Right Winger,"Apr 24, 2002 (22)",Romania,€200k
UTA Arad,-,Ahmet Ekmekci,Second Striker,"Mar 27, 2004 (20)",Romania,€50k
UTA Arad,-,Shayon Harrison,Centre-Forward,"Jul 13, 1997 (27)",England,€350k
UTA Arad,7,Andrei Dumiter,Centre-Forward,"Apr 10, 1999 (25)",Romania,€200k
UTA Arad,9,Agustin Vuletich,Centre-Forward,"Nov 3, 1991 (33)",Argentina,€100k
UTA Arad,17,Daniel Zsori,Centre-Forward,"Oct 14, 2000 (24)",Hungary,€100k
UTA Arad,27,Raoul Cristea,Centre-Forward,"Sep 4, 2002 (22)",Romania,€100k
AFC Unirea 04 Slobozia,12,Denis Rusu,Goalkeeper,"Aug 2, 1990 (34)",Moldova,€250k
AFC Unirea 04 Slobozia,1,Stefan Krell,Goalkeeper,"Jun 12, 1992 (32)",Austria,€100k
AFC Unirea 04 Slobozia,86,Stefan Georgescu,Goalkeeper,"Sep 30, 2001 (23)",Romania,€25k
AFC Unirea 04 Slobozia,14,Filip Blazek,Centre-Back,"Mar 11, 1998 (26)",Slovakia,€350k
AFC Unirea 04 Slobozia,5,Ariel Lopez,Centre-Back,"May 26, 1995 (29)",Uruguay,€300k
AFC Unirea 04 Slobozia,60,Dmytro Pospelov,Centre-Back,"Oct 19, 1991 (33)",Ukraine,€300k
AFC Unirea 04 Slobozia,6,Marius Antoche,Centre-Back,"Jun 21, 1992 (32)",Romania,€250k
AFC Unirea 04 Slobozia,4,Ionut Dinu,Centre-Back,"Apr 8, 1998 (26)",Romania,€150k
AFC Unirea 04 Slobozia,29,Daniel Serbanica,Left-Back,"Jun 25, 1996 (28)",Romania,€350k
AFC Unirea 04 Slobozia,7,Laurentiu Vlasceanu,Left-Back,"May 29, 2005 (19)",Romania,€250k
AFC Unirea 04 Slobozia,10,Constantin Toma,Left-Back,"Mar 23, 1987 (37)",Romania,€50k
AFC Unirea 04 Slobozia,15,Paolo Medina,Right-Back,"May 28, 1999 (25)",Mexico,€550k
AFC Unirea 04 Slobozia,2,Andrei Dorobantu,Right-Back,"Aug 29, 2004 (20)",Romania,€200k
AFC Unirea 04 Slobozia,21,Florinel Ibrian,Right-Back,"Sep 14, 1993 (31)",Romania,€100k
AFC Unirea 04 Slobozia,20,Ovidiu Perianu,Defensive Midfield,"Apr 16, 2002 (22)",Romania,€450k
AFC Unirea 04 Slobozia,8,Ionut Coada,Defensive Midfield,"Jan 1, 1998 (27)",Romania,€400k
AFC Unirea 04 Slobozia,27,Stefan Pacionel,Central Midfield,"Feb 16, 1999 (25)",Romania,€200k
AFC Unirea 04 Slobozia,77,Adnan Aganovic,Central Midfield,"Oct 3, 1987 (37)",Croatia,€100k
AFC Unirea 04 Slobozia,22,Mihaita Lemnaru,Central Midfield,"Jul 14, 2000 (24)",Romania,€50k
AFC Unirea 04 Slobozia,-,Denis Dragomir,Central Midfield,"Jan 8, 2005 (20)",Romania,€10k
AFC Unirea 04 Slobozia,-,Cristian Chirita,Central Midfield,"Jul 1, 2003 (21)",Romania,€10k
AFC Unirea 04 Slobozia,-,Mihnea Stefan,Central Midfield,"Apr 19, 2006 (18)",Romania,€10k
AFC Unirea 04 Slobozia,98,Christ Afalna,Attacking Midfield,"Jun 15, 1998 (26)",Cameroon,€400k
AFC Unirea 04 Slobozia,30,Florin Purece,Attacking Midfield,"Nov 6, 1991 (33)",Romania,€200k
AFC Unirea 04 Slobozia,16,Marius Lupu,Right Winger,"Sep 1, 1999 (25)",Romania,€350k
AFC Unirea 04 Slobozia,23,Cristian Barbut,Right Winger,"Apr 22, 1995 (29)",Romania,€200k
AFC Unirea 04 Slobozia,11,Jordan Gele,Centre-Forward,"Sep 16, 1992 (32)",France,€250k
AFC Unirea 04 Slobozia,9,Filip Ilie,Centre-Forward,"Jul 15, 2002 (22)",Romania,€200k
AFC Unirea 04 Slobozia,18,Dmytro Yusov,Centre-Forward,"May 11, 1993 (31)",Ukraine,€200k
