PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country
as_monaco_jordan_teze,as_monaco,AS Monaco,as_monaco.png,4,Jordan Teze,Right-Back,26,Netherlands,€12.00m,as_monaco_jordan_teze.jpg,Ligue 1,Franta
as_monaco_denis_zakaria,as_monaco,AS Monaco,as_monaco.png,6,Denis Zakaria,Defensive Midfield,29,Switzerland,€25.00m,as_monaco_denis_zakaria.jpg,Ligue 1,Franta
as_monaco_aladji_bamba,as_monaco,AS Monaco,as_monaco.png,23,Aladji Bamba,Defensive Midfield,19,France,€3.50m,as_monaco_aladji_bamba.jpg,Ligue 1,Franta
as_monaco_lamine_camara,as_monaco,AS Monaco,as_monaco.png,15,Lamine Camara,Central Midfield,22,Senegal,€30.00m,as_monaco_lamine_camara.jpg,Ligue 1,Franta
as_monaco_mamadou_coulibaly,as_monaco,AS Monaco,as_monaco.png,28,Mamadou Coulibaly,Central Midfield,21,France,€8.00m,as_monaco_mamadou_coulibaly.png,Ligue 1,Franta
as_monaco_paul_pogba,as_monaco,AS Monaco,as_monaco.png,8,Paul Pogba,Central Midfield,32,France,€5.00m,as_monaco_paul_pogba.jpg,Ligue 1,Franta
as_monaco_aleksandr_golovin,as_monaco,AS Monaco,as_monaco.png,10,Aleksandr Golovin,Attacking Midfield,29,Russia,€18.00m,as_monaco_aleksandr_golovin.jpg,Ligue 1,Franta
as_monaco_stanis_idumbo,as_monaco,AS Monaco,as_monaco.png,17,Stanis Idumbo,Attacking Midfield,20,Belgium,€5.00m,as_monaco_stanis_idumbo.jpg,Ligue 1,Franta
as_monaco_takumi_minamino,as_monaco,AS Monaco,as_monaco.png,18,Takumi Minamino,Left Winger,31,Japan,€12.00m,as_monaco_takumi_minamino.jpg,Ligue 1,Franta
as_monaco_ansu_fati,as_monaco,AS Monaco,as_monaco.png,31,Ansu Fati,Left Winger,23,Spain,€10.00m,as_monaco_ansu_fati.jpg,Ligue 1,Franta
as_monaco_lucas_michal,as_monaco,AS Monaco,as_monaco.png,21,Lucas Michal,Left Winger,20,France,€2.50m,as_monaco_lucas_michal.png,Ligue 1,Franta
as_monaco_maghnes_akliouche,as_monaco,AS Monaco,as_monaco.png,11,Maghnes Akliouche,Right Winger,23,France,€45.00m,as_monaco_maghnes_akliouche.jpg,Ligue 1,Franta
as_monaco_krepin_diatta,as_monaco,AS Monaco,as_monaco.png,27,Krepin Diatta,Right Winger,26,Senegal,€6.00m,as_monaco_krepin_diatta.jpg,Ligue 1,Franta
as_monaco_folarin_balogun,as_monaco,AS Monaco,as_monaco.png,9,Folarin Balogun,Centre-Forward,24,United States,€22.00m,as_monaco_folarin_balogun.jpg,Ligue 1,Franta
as_monaco_mika_biereth,as_monaco,AS Monaco,as_monaco.png,14,Mika Biereth,Centre-Forward,22,Denmark,€22.00m,as_monaco_mika_biereth.jpg,Ligue 1,Franta
as_monaco_george_ilenikhena,as_monaco,AS Monaco,as_monaco.png,19,George Ilenikhena,Centre-Forward,19,Nigeria,€12.00m,as_monaco_george_ilenikhena.jpg,Ligue 1,Franta
as_monaco_paris_brunner,as_monaco,AS Monaco,as_monaco.png,29,Paris Brunner,Centre-Forward,19,Germany,€1.50m,as_monaco_paris_brunner.jpg,Ligue 1,Franta
lille_berke_ozer,lille,Lille,lille.png,1,Berke Ozer,Goalkeeper,25,Türkiye,€10.00m,lille_berke_ozer.jpg,Ligue 1,Franta
lille_arnaud_bodart,lille,Lille,lille.png,16,Arnaud Bodart,Goalkeeper,27,Belgium,€2.00m,lille_arnaud_bodart.jpg,Ligue 1,Franta
lille_marc-aurele_caillard,lille,Lille,lille.png,30,Marc-Aurele Caillard,Goalkeeper,31,France,€100k,lille_marc-aurele_caillard.png,Ligue 1,Franta
lille_alexsandro,lille,Lille,lille.png,4,Alexsandro,Centre-Back,26,Brazil,€20.00m,lille_alexsandro.jpg,Ligue 1,Franta
lille_nathan_ngoy,lille,Lille,lille.png,3,Nathan Ngoy,Centre-Back,22,Belgium,€10.00m,lille_nathan_ngoy.jpg,Ligue 1,Franta
lille_chancel_mbemba,lille,Lille,lille.png,18,Chancel Mbemba,Centre-Back,31,DR Congo,€2.50m,lille_chancel_mbemba.jpg,Ligue 1,Franta
lille_aissa_mandi,lille,Lille,lille.png,23,Aissa Mandi,Centre-Back,34,Algeria,€1.00m,lille_aissa_mandi.jpg,Ligue 1,Franta
lille_rafael_fernandes,lille,Lille,lille.png,-,Rafael Fernandes,Centre-Back,23,Portugal,€600k,lille_rafael_fernandes.jpg,Ligue 1,Franta
