PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country,Scor
as_monaco_kassoum_ouattara,as_monaco,AS Monaco,as_monaco.png,20,Kassoum Ouattara,Left-Back,"Oct 14, 2004 (20)",France,€8.00m,as_monaco_kassoum_ouattara.jpg,Ligue 1,Franta,
as_monaco_vanderson,as_monaco,AS Monaco,as_monaco.png,2,Vanderson,Right-Back,"Jun 21, 2001 (23)",Brazil,€20.00m,as_monaco_vanderson.jpg,Ligue 1,Franta,
as_monaco_jordan_teze,as_monaco,AS Monaco,as_monaco.png,4,Jordan Teze,Right-Back,"Sep 30, 1999 (25)",Netherlands,€12.00m,as_monaco_jordan_teze.jpg,Ligue 1,Franta,
as_monaco_denis_zakaria,as_monaco,AS Monaco,as_monaco.png,6,Denis Zakaria,Defensive Midfield,"Nov 20, 1996 (28)",Switzerland,€30.00m,as_monaco_denis_zakaria.jpg,Ligue 1,Franta,
as_monaco_soungoutou_magassa,as_monaco,AS Monaco,as_monaco.png,88,Soungoutou Magassa,Defensive Midfield,"Oct 8, 2003 (21)",France,€12.00m,as_monaco_soungoutou_magassa.jpg,Ligue 1,Franta,
as_monaco_moatasem_al-musrati,as_monaco,AS Monaco,as_monaco.png,8,Moatasem Al-Musrati,Defensive Midfield,"Apr 6, 1996 (29)",Libya,€10.00m,as_monaco_moatasem_al-musrati.png,Ligue 1,Franta,
as_monaco_lamine_camara,as_monaco,AS Monaco,as_monaco.png,15,Lamine Camara,Central Midfield,"Jan 1, 2004 (21)",Senegal,€20.00m,as_monaco_lamine_camara.jpg,Ligue 1,Franta,
as_monaco_edan_diop,as_monaco,AS Monaco,as_monaco.png,37,Edan Diop,Central Midfield,"Aug 28, 2004 (20)",France,€1.50m,as_monaco_edan_diop.jpg,Ligue 1,Franta,
as_monaco_aleksandr_golovin,as_monaco,AS Monaco,as_monaco.png,10,Aleksandr Golovin,Attacking Midfield,"May 30, 1996 (28)",Russia,€25.00m,as_monaco_aleksandr_golovin.jpg,Ligue 1,Franta,
as_monaco_eliesse_ben_seghir,as_monaco,AS Monaco,as_monaco.png,7,Eliesse Ben Seghir,Left Winger,"Feb 16, 2005 (20)",Morocco,€30.00m,as_monaco_eliesse_ben_seghir.jpg,Ligue 1,Franta,
as_monaco_takumi_minamino,as_monaco,AS Monaco,as_monaco.png,18,Takumi Minamino,Left Winger,"Jan 16, 1995 (30)",Japan,€15.00m,as_monaco_takumi_minamino.jpg,Ligue 1,Franta,
as_monaco_lucas_michal,as_monaco,AS Monaco,as_monaco.png,41,Lucas Michal,Left Winger,"Jun 22, 2005 (19)",France,€500k,as_monaco_lucas_michal.png,Ligue 1,Franta,
as_monaco_maghnes_akliouche,as_monaco,AS Monaco,as_monaco.png,11,Maghnes Akliouche,Right Winger,"Feb 25, 2002 (23)",France,€40.00m,as_monaco_maghnes_akliouche.jpg,Ligue 1,Franta,
as_monaco_krepin_diatta,as_monaco,AS Monaco,as_monaco.png,27,Krepin Diatta,Right Winger,"Feb 25, 1999 (26)",Senegal,€10.00m,as_monaco_krepin_diatta.jpg,Ligue 1,Franta,
as_monaco_mika_biereth,as_monaco,AS Monaco,as_monaco.png,14,Mika Biereth,Centre-Forward,"Feb 8, 2003 (22)",Denmark,€25.00m,as_monaco_mika_biereth.jpg,Ligue 1,Franta,
as_monaco_folarin_balogun,as_monaco,AS Monaco,as_monaco.png,9,Folarin Balogun,Centre-Forward,"Jul 3, 2001 (23)",United States,€20.00m,as_monaco_folarin_balogun.jpg,Ligue 1,Franta,
as_monaco_george_ilenikhena,as_monaco,AS Monaco,as_monaco.png,21,George Ilenikhena,Centre-Forward,"Aug 16, 2006 (18)",Nigeria,€15.00m,as_monaco_george_ilenikhena.jpg,Ligue 1,Franta,
as_monaco_breel_embolo,as_monaco,AS Monaco,as_monaco.png,36,Breel Embolo,Centre-Forward,"Feb 14, 1997 (28)",Switzerland,€12.00m,as_monaco_breel_embolo.jpg,Ligue 1,Franta,
lille_lucas_chevalier,lille,Lille,lille.png,30,Lucas Chevalier,Goalkeeper,"Nov 6, 2001 (23)",France,€30.00m,lille_lucas_chevalier.jpg,Ligue 1,Franta,
lille_vito_mannone,lille,Lille,lille.png,1,Vito Mannone,Goalkeeper,"Mar 2, 1988 (37)",Italy,€200k,lille_vito_mannone.jpg,Ligue 1,Franta,
lille_marc-aurele_caillard,lille,Lille,lille.png,16,Marc-Aurele Caillard,Goalkeeper,"May 12, 1994 (30)",France,€150k,lille_marc-aurele_caillard.png,Ligue 1,Franta,
lille_bafode_diakite,lille,Lille,lille.png,18,Bafode Diakite,Centre-Back,"Jan 6, 2001 (24)",France,€25.00m,lille_bafode_diakite.jpg,Ligue 1,Franta,
lille_alexsandro,lille,Lille,lille.png,4,Alexsandro,Centre-Back,"Aug 9, 1999 (25)",Brazil,€15.00m,lille_alexsandro.jpg,Ligue 1,Franta,
lille_samuel_umtiti,lille,Lille,lille.png,14,Samuel Umtiti,Centre-Back,"Nov 14, 1993 (31)",France,€2.00m,lille_samuel_umtiti.jpg,Ligue 1,Franta,
lille_aissa_mandi,lille,Lille,lille.png,2,Aissa Mandi,Centre-Back,"Oct 22, 1991 (33)",Algeria,€1.50m,lille_aissa_mandi.jpg,Ligue 1,Franta,
lille_gabriel_gudmundsson,lille,Lille,lille.png,5,Gabriel Gudmundsson,Left-Back,"Apr 29, 1999 (25)",Sweden,€9.00m,lille_gabriel_gudmundsson.jpg,Ligue 1,Franta,
lille_mitchel_bakker,lille,Lille,lille.png,20,Mitchel Bakker,Left-Back,"Jun 20, 2000 (24)",Netherlands,€7.00m,lille_mitchel_bakker.jpg,Ligue 1,Franta,
lille_ismaily,lille,Lille,lille.png,31,Ismaily,Left-Back,"Jan 11, 1990 (35)",Brazil,€1.50m,lille_ismaily.jpg,Ligue 1,Franta,
lille_tiago_santos,lille,Lille,lille.png,22,Tiago Santos,Right-Back,"Jul 23, 2002 (22)",Portugal,€15.00m,lille_tiago_santos.jpg,Ligue 1,Franta,
lille_thomas_meunier,lille,Lille,lille.png,12,Thomas Meunier,Right-Back,"Sep 12, 1991 (33)",Belgium,€2.00m,lille_thomas_meunier.jpg,Ligue 1,Franta,
lille_ngal'ayel_mukau,lille,Lille,lille.png,17,Ngal'ayel Mukau,Defensive Midfield,"Nov 3, 2004 (20)",DR Congo,€15.00m,lille_ngal'ayel_mukau.jpg,Ligue 1,Franta,
lille_nabil_bentaleb,lille,Lille,lille.png,6,Nabil Bentaleb,Defensive Midfield,"Nov 24, 1994 (30)",Algeria,€8.00m,lille_nabil_bentaleb.jpg,Ligue 1,Franta,
lille_benjamin_andre,lille,Lille,lille.png,21,Benjamin Andre,Defensive Midfield,"Aug 3, 1990 (34)",France,€6.00m,lille_benjamin_andre.jpg,Ligue 1,Franta,
lille_ayyoub_bouaddi,lille,Lille,lille.png,32,Ayyoub Bouaddi,Central Midfield,"Oct 2, 2007 (17)",France,€30.00m,lille_ayyoub_bouaddi.jpg,Ligue 1,Franta,
