PlayerID,Scor,Liga
fc_universitatea_cluj_artur_miranyan,3,superliga
fc_universitatea_cluj_adel_bettaieb,2,superliga
sepsi_osk_sf._gheorghe_roland_niczuly,3,superliga
sepsi_osk_sf._gheorghe_szilard_gyenge,3,superliga
sepsi_osk_sf._gheorghe_denis_harut,3,superliga
sepsi_osk_sf._gheorghe_branislav_ninaj,3,superliga
sepsi_osk_sf._gheorghe_matej_simic,3,superliga
sepsi_osk_sf._gheorghe_florin_stefan,3,superliga
sepsi_osk_sf._gheorghe_andres_dumitrescu,3,superliga
sepsi_osk_sf._gheorghe_bogdan_otelita,3,superliga
sepsi_osk_sf._gheorghe_darius_oroian,3,superliga
sepsi_osk_sf._gheorghe_nicolae_paun,3,superliga
sepsi_osk_sf._gheorghe_sota_mino,3,superliga
sepsi_osk_sf._gheorghe_dino_skorup,2,superliga
sepsi_osk_sf._gheorghe_akos_nistor,1,superliga
sepsi_osk_sf._gheorghe_sherif_kallaku,3,superliga
sepsi_osk_sf._gheorghe_cosmin_matei,3,superliga
sepsi_osk_sf._gheorghe_marian_draghiceanu,3,superliga
sepsi_osk_sf._gheorghe_mihajlo_neskovic,3,superliga
sepsi_osk_sf._gheorghe_sebastian_mailat,3,superliga
sepsi_osk_sf._gheorghe_omar_el_sawy,3,superliga
sepsi_osk_sf._gheorghe_raul_cimpean,3,superliga
sepsi_osk_sf._gheorghe_gabriel_debeljuh,3,superliga
sepsi_osk_sf._gheorghe_marius_coman,3,superliga
sepsi_osk_sf._gheorghe_dimitri_oberlin,3,superliga
fc_dinamo_1948_adnan_golubovic,3,superliga
fc_dinamo_1948_alexandru_rosca,4,superliga
fc_dinamo_1948_kennedy_boateng,3,superliga
fc_dinamo_1948_josue_homawoo,3,superliga
fc_dinamo_1948_cristian_licsandru,2,superliga
fc_dinamo_1948_razvan_pascalau,3,superliga
fc_dinamo_1948_razvan_patriche,4,superliga
fc_dinamo_1948_raul_oprut,3,superliga
fc_dinamo_1948_antonio_luna,1,superliga
fc_dinamo_1948_maxime_sivis,2,superliga
fc_dinamo_1948_cristian_costin,3,superliga
fc_dinamo_1948_eddy_gnahore,3,superliga
fc_dinamo_1948_andrei_marginean,3,superliga
fc_dinamo_1948_catalin_cirjan,4,superliga
fc_dinamo_1948_georgi_milanov,3,superliga
fc_dinamo_1948_sanusi_hussaini,2,superliga
fc_dinamo_1948_patrick_olsen,3,superliga
fc_dinamo_1948_peter_maapia,2,superliga
fc_dinamo_1948_dennis_politic,4,superliga
fc_dinamo_1948_adrian_caragea,2,superliga
fc_dinamo_1948_hakim_abdallah,3,superliga
fc_dinamo_1948_astrit_selmani,4,superliga
fc_dinamo_1948_alexandru_pop,3,superliga
fc_dinamo_1948_stipe_perica,3,superliga
fcv_farul_constanta_alexandru_buzbuchi,3,superliga
fcv_farul_constanta_stefan_musat,2,superliga
fcv_farul_constanta_gustavo_marins,3,superliga
fcv_farul_constanta_mihai_balasa,3,superliga
fcv_farul_constanta_bogdan_tiru,3,superliga
fcv_farul_constanta_ionut_larie,3,superliga
fcv_farul_constanta_joao_ferreira,2,superliga
fcv_farul_constanta_cristian_ganea,3,superliga
fcv_farul_constanta_dan_sirbu,3,superliga
fcv_farul_constanta_fabinho,2,superliga
fcv_farul_constanta_victor_dican,2,superliga
fcv_farul_constanta_dragos_nedelcu,3,superliga
fcv_farul_constanta_nicolas_popescu,3,superliga
fcv_farul_constanta_ionut_vina,2,superliga
fcv_farul_constanta_carlo_casap,2,superliga
fcv_farul_constanta_andrei_ciobanu,3,superliga
fcv_farul_constanta_eduard_radaslavescu,4,superliga
fcv_farul_constanta_ionut_cojocaru,2,superliga
fcv_farul_constanta_narek_grigoryan,3,superliga
fcv_farul_constanta_denis_alibec,4,superliga
fcv_farul_constanta_gabriel_iancu,3,superliga
fcv_farul_constanta_daniel_kivinda,2,superliga
