PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Image,Scor
fc_rapid_1923_razvan_onea,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,19,Razvan Onea,Right-Back,"May 19, 1998 (26)",Romania,fc_rapid_1923_razvan_onea.png,3
fc_rapid_1923_christopher_braun,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,47,Christopher Braun,Right-Back,"Jul 15, 1991 (33)",Germany,fc_rapid_1923_christopher_braun.png,3
fc_rapid_1923_tobias_christensen,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,17,Tobias Christensen,Defensive Midfield,"May 11, 2000 (24)",Norway,fc_rapid_1923_tobias_christensen.jpg,4
fc_rapid_1923_jakub_hromada,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,14,Jakub Hromada,Defensive Midfield,"May 25, 1996 (28)",Slovakia,fc_rapid_1923_jakub_hromada.png,4
fc_rapid_1923_diogo_mendes,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,66,Diogo Mendes,Defensive Midfield,"Jan 24, 1998 (26)",Cape Verde,fc_rapid_1923_diogo_mendes.jpg,2
fc_rapid_1923_catalin_vulturar,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,15,Catalin Vulturar,Defensive Midfield,"Mar 9, 2004 (20)",Romania,fc_rapid_1923_catalin_vulturar.png,2
fc_rapid_1923_constantin_grameni,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,20,Constantin Grameni,Central Midfield,"Oct 23, 2002 (22)",Romania,fc_rapid_1923_constantin_grameni.png,3
fc_rapid_1923_mattias_kait,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,4,Mattias Kait,Central Midfield,"Jun 29, 1998 (26)",Estonia,fc_rapid_1923_mattias_kait.png,4
fc_rapid_1923_luka_gojkovic,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,28,Luka Gojkovic,Attacking Midfield,"Nov 28, 1999 (25)",Serbia,fc_rapid_1923_luka_gojkovic.png,2
fc_rapid_1923_xian_emmers,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,25,Xian Emmers,Attacking Midfield,"Jul 20, 1999 (25)",Belgium,fc_rapid_1923_xian_emmers.png,3
fc_rapid_1923_andrei_sucu,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,34,Andrei Sucu,Attacking Midfield,"Dec 26, 2008 (16)",Romania,fc_rapid_1923_andrei_sucu.png,3
fc_rapid_1923_claudiu_petrila,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,10,Claudiu Petrila,Left Winger,"Nov 7, 2000 (24)",Romania,fc_rapid_1923_claudiu_petrila.png,5
fc_rapid_1923_alexandru_dobre,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,29,Alexandru Dobre,Left Winger,"Aug 30, 1998 (26)",Romania,fc_rapid_1923_alexandru_dobre.jpg,4
fc_rapid_1923_claudiu_micovschi,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,7,Claudiu Micovschi,Left Winger,"May 19, 1999 (25)",Romania,fc_rapid_1923_claudiu_micovschi.png,3
fc_rapid_1923_clinton_n'jie,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,9,Clinton N'Jie,Right Winger,"Aug 15, 1993 (31)",Cameroon,fc_rapid_1923_clinton_n'jie.jpg,5
fc_rapid_1923_rares_pop,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,55,Rares Pop,Right Winger,"Jun 14, 2005 (19)",Romania,fc_rapid_1923_rares_pop.png,4
fc_rapid_1923_david_ankeye,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,30,David Ankeye,Centre-Forward,"May 22, 2002 (22)",Nigeria,fc_rapid_1923_david_ankeye.jpg,5
fc_rapid_1923_borisav_burmaz,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,11,Borisav Burmaz,Centre-Forward,"Apr 21, 2001 (23)",Serbia,fc_rapid_1923_borisav_burmaz.png,3
cs_universitatea_craiova_laurentiu_popescu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,21,Laurentiu Popescu,Goalkeeper,"Jan 18, 1997 (28)",Romania,cs_universitatea_craiova_laurentiu_popescu.png,3
cs_universitatea_craiova_silviu_lung_jr.,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,33,Silviu Lung Jr.,Goalkeeper,"Jun 4, 1989 (35)",Romania,cs_universitatea_craiova_silviu_lung_jr..png,3
cs_universitatea_craiova_denil_maldonado,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,3,Denil Maldonado,Centre-Back,"May 26, 1998 (26)",Honduras,cs_universitatea_craiova_denil_maldonado.png,3
cs_universitatea_craiova_gjoko_zajkov,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,26,Gjoko Zajkov,Centre-Back,"Feb 10, 1995 (29)",North Macedonia,cs_universitatea_craiova_gjoko_zajkov.png,3
cs_universitatea_craiova_juraj_badelj,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,15,Juraj Badelj,Centre-Back,"Aug 24, 2003 (21)",Croatia,cs_universitatea_craiova_juraj_badelj.png,3
cs_universitatea_craiova_marcus_pacurar,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,41,Marcus Pacurar,Centre-Back,"May 2, 2005 (19)",Romania,cs_universitatea_craiova_marcus_pacurar.png,1
cs_universitatea_craiova_nicusor_bancu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,11,Nicusor Bancu,Left-Back,"Sep 18, 1992 (32)",Romania,cs_universitatea_craiova_nicusor_bancu.png,4
cs_universitatea_craiova_basilio_ndong,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,12,Basilio Ndong,Left-Back,"Jan 17, 1999 (26)",Equatorial Guinea,cs_universitatea_craiova_basilio_ndong.png,2
cs_universitatea_craiova_iago_lopez,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,22,Iago Lopez,Right-Back,"Apr 6, 1999 (25)",Spain,cs_universitatea_craiova_iago_lopez.png,2
cs_universitatea_craiova_vladimir_screciu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,6,Vladimir Screciu,Defensive Midfield,"Jan 13, 2000 (25)",Romania,cs_universitatea_craiova_vladimir_screciu.png,4
cs_universitatea_craiova_anzor_mekvabishvili,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,5,Anzor Mekvabishvili,Defensive Midfield,"Jun 5, 2001 (23)",Georgia,cs_universitatea_craiova_anzor_mekvabishvili.png,3
cs_universitatea_craiova_takuto_oshima,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,8,Takuto Oshima,Defensive Midfield,"Jun 1, 1998 (26)",Japan,cs_universitatea_craiova_takuto_oshima.png,3
cs_universitatea_craiova_robert_lapadatescu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,39,Robert Lapadatescu,Defensive Midfield,"Nov 8, 2006 (18)",Romania,cs_universitatea_craiova_robert_lapadatescu.png,2
cs_universitatea_craiova_mihai_capatina,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,23,Mihai Capatina,Central Midfield,"Dec 16, 1995 (29)",Romania,cs_universitatea_craiova_mihai_capatina.png,3
cs_universitatea_craiova_alexandru_cicaldau,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,20,Alexandru Cicaldau,Attacking Midfield,"Jul 8, 1997 (27)",Romania,cs_universitatea_craiova_alexandru_cicaldau.png,4
cs_universitatea_craiova_lyes_houri,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,14,Lyes Houri,Attacking Midfield,"Jan 19, 1996 (29)",France,cs_universitatea_craiova_lyes_houri.png,3
cs_universitatea_craiova_alexandru_mitrita,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,28,Alexandru Mitrita,Left Winger,"Feb 8, 1995 (29)",Romania,cs_universitatea_craiova_alexandru_mitrita.png,5
cs_universitatea_craiova_stefan_baiaram,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,10,Stefan Baiaram,Left Winger,"Dec 31, 2002 (22)",Romania,cs_universitatea_craiova_stefan_baiaram.png,4
cs_universitatea_craiova_luis_paradela,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,7,Luis Paradela,Left Winger,"Jan 21, 1997 (28)",Cuba,cs_universitatea_craiova_luis_paradela.png,3
cs_universitatea_craiova_carlos_mora,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,17,Carlos Mora,Right Winger,"Mar 18, 2001 (23)",Costa Rica,cs_universitatea_craiova_carlos_mora.png,3
cs_universitatea_craiova_stefan_bana,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,31,Stefan Bana,Right Winger,"Oct 29, 2004 (20)",Romania,cs_universitatea_craiova_stefan_bana.png,3
cs_universitatea_craiova_elvir_koljic,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,19,Elvir Koljic,Centre-Forward,"Jul 8, 1995 (29)",Bosnia-Herzegovina,cs_universitatea_craiova_elvir_koljic.png,3
cs_universitatea_craiova_jovo_lukic,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,24,Jovo Lukic,Centre-Forward,"Nov 28, 1998 (26)",Bosnia-Herzegovina,cs_universitatea_craiova_jovo_lukic.jpg,3
cs_universitatea_craiova_david_barbu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,27,David Barbu,Centre-Forward,"Jun 26, 2006 (18)",Romania,cs_universitatea_craiova_david_barbu.png,3
cfr_cluj_mihai_popa,cfr_cluj,CFR Cluj,cfr_cluj.png,21,Mihai Popa,Goalkeeper,"Oct 12, 2000 (24)",Romania,cfr_cluj_mihai_popa.png,3
cfr_cluj_otto_hindrich,cfr_cluj,CFR Cluj,cfr_cluj.png,89,Otto Hindrich,Goalkeeper,"Aug 5, 2002 (22)",Romania,cfr_cluj_otto_hindrich.png,3
cfr_cluj_rares_gal,cfr_cluj,CFR Cluj,cfr_cluj.png,1,Rares Gal,Goalkeeper,"Jan 25, 2001 (23)",Romania,cfr_cluj_rares_gal.png,2
cfr_cluj_matei_ilie,cfr_cluj,CFR Cluj,cfr_cluj.png,27,Matei Ilie,Centre-Back,"Dec 11, 2002 (22)",Romania,cfr_cluj_matei_ilie.png,4
cfr_cluj_anton_kresic,cfr_cluj,CFR Cluj,cfr_cluj.png,44,Anton Kresic,Centre-Back,"Jan 29, 1996 (28)",Croatia,cfr_cluj_anton_kresic.png,3
cfr_cluj_leo_bolgado,cfr_cluj,CFR Cluj,cfr_cluj.png,4,Leo Bolgado,Centre-Back,"Aug 20, 1998 (26)",Brazil,cfr_cluj_leo_bolgado.png,3
cfr_cluj_matija_boben,cfr_cluj,CFR Cluj,cfr_cluj.png,42,Matija Boben,Centre-Back,"Feb 26, 1994 (30)",Slovenia,cfr_cluj_matija_boben.png,2
cfr_cluj_daniel_graovac,cfr_cluj,CFR Cluj,cfr_cluj.png,5,Daniel Graovac,Centre-Back,"Aug 8, 1993 (31)",Bosnia-Herzegovina,cfr_cluj_daniel_graovac.png,3
cfr_cluj_alan_aussi,cfr_cluj,CFR Cluj,cfr_cluj.png,22,Alan Aussi,Centre-Back,"Jun 30, 2001 (23)",Ukraine,cfr_cluj_alan_aussi.png,2
cfr_cluj_simao_rocha,cfr_cluj,CFR Cluj,cfr_cluj.png,13,Simao Rocha,Left-Back,"Dec 13, 2000 (24)",Portugal,cfr_cluj_simao_rocha.png,2
cfr_cluj_aly_abeid,cfr_cluj,CFR Cluj,cfr_cluj.png,3,Aly Abeid,Left-Back,"Dec 11, 1997 (27)",Mauritania,cfr_cluj_aly_abeid.png,3
cfr_cluj_mario_camora,cfr_cluj,CFR Cluj,cfr_cluj.png,45,Mario Camora,Left-Back,"Nov 10, 1986 (38)",Romania,cfr_cluj_mario_camora.png,4
cfr_cluj_flavius_iacob,cfr_cluj,CFR Cluj,cfr_cluj.png,23,Flavius Iacob,Right-Back,"Oct 30, 2000 (24)",Romania,cfr_cluj_flavius_iacob.png,2
cfr_cluj_alexandru_tirlea,cfr_cluj,CFR Cluj,cfr_cluj.png,20,Alexandru Tirlea,Right-Back,"Mar 28, 2000 (24)",Romania,cfr_cluj_alexandru_tirlea.jpg,2
cfr_cluj_andrei_peteleu,cfr_cluj,CFR Cluj,cfr_cluj.png,71,Andrei Peteleu,Right-Back,"Aug 20, 1992 (32)",Romania,cfr_cluj_andrei_peteleu.png,3
cfr_cluj_kader_keita,cfr_cluj,CFR Cluj,cfr_cluj.png,18,Kader Keita,Defensive Midfield,"Nov 6, 2000 (24)",Cote d'Ivoire,cfr_cluj_kader_keita.png,2
cfr_cluj_panagiotis_tachtsidis,cfr_cluj,CFR Cluj,cfr_cluj.png,77,Panagiotis Tachtsidis,Defensive Midfield,"Feb 15, 1991 (33)",Greece,cfr_cluj_panagiotis_tachtsidis.png,4
cfr_cluj_alin_fica,cfr_cluj,CFR Cluj,cfr_cluj.png,82,Alin Fica,Central Midfield,"Jun 14, 2001 (23)",Romania,cfr_cluj_alin_fica.png,4
cfr_cluj_damjan_djokovic,cfr_cluj,CFR Cluj,cfr_cluj.png,88,Damjan Djokovic,Central Midfield,"Apr 18, 1990 (34)",Croatia,cfr_cluj_damjan_djokovic.png,4
cfr_cluj_robert_filip,cfr_cluj,CFR Cluj,cfr_cluj.png,8,Robert Filip,Central Midfield,"Mar 2, 2002 (22)",Romania,cfr_cluj_robert_filip.png,2
cfr_cluj_meriton_korenica,cfr_cluj,CFR Cluj,cfr_cluj.png,17,Meriton Korenica,Left Winger,"Dec 15, 1996 (28)",Kosovo,cfr_cluj_meriton_korenica.png,4
